"claim_id","record_id","record_slug","label","value","evidence_level","assessment","source_ids","source_metric_term","source_metric_value","source_metric_unit","target_metric","normalization_qualification","normalized_result","metric_interpretation"
"HU-R001-C01","HU-R001","figure-02-bmw","Runtime","1,250+ operating hours","operator","The cumulative operating-hour total is corroborated by BMW Group and Figure AI. Neither source publishes scheduled robot time, downtime, the unit-level distribution or the exact fleet denominator.","bmw-results-2026 | figure-results-2025","operating hours","1,250+","hours","technical_availability","different_metric","","Cumulative operating hours describe recorded runtime. Without scheduled time and technical downtime, they do not show what share of required production time the robots were available."
"HU-R001-C02","HU-R001","figure-02-bmw","Task output","90,000+ sheet-metal parts; contribution to 30,000+ BMW X3 vehicles","operator","Output is corroborated, but attempts, rejected cycles, retries and human-assisted cycles are not separated.","bmw-results-2026 | figure-results-2025","","","","","","",""
"HU-R001-C03","HU-R001","figure-02-bmw","Operating pattern","10-hour shifts, Monday through Friday","operator","A nominal shift pattern is disclosed, but neither source states that every robot was scheduled for every shift or publishes downtime; availability cannot be derived.","bmw-results-2026 | figure-results-2025","","","","","","",""
"HU-R001-C04","HU-R001","figure-02-bmw","Observation-period boundary","BMW reports ten months; Figure describes an 11-month deployment","operator","BMW ties the production contribution to ten months. Figure describes an 11-month deployment, says full deployment launched within ten months and separately cites six months of daily runtime. The public sources do not define a single common start date or explain the scope difference.","bmw-results-2026 | figure-results-2025 | bmw-figure03-2026","","","","","","",""
"HU-R001-C05","HU-R001","figure-02-bmw","Hardware reliability","“Minimal hardware failures”; forearm identified as top hardware failure point","manufacturer","Qualitative manufacturer statement without counts, severity, repair time or denominator.","figure-results-2025","","","","","","",""
"HU-R001-C06","HU-R001","figure-02-bmw","Human intervention","Every intervention was logged","manufacturer","The existence of logs is disclosed; the number and definition of interventions are not.","figure-results-2025","","","","","","",""
"HU-R001-C07","HU-R001","figure-02-bmw","Autonomy boundary","Production task described as autonomous; autonomous-time share not published","manufacturer","BMW confirms the trial and production task, but the autonomy-specific wording in the 2024 operator release is attributable to Figure. Figure later defines human pauses or resets as an intervention KPI. Neither party publishes the proportion of runtime that was autonomous, supervised, paused or under recovery.","bmw-trial-2024 | figure-results-2025","","","","","","",""
"HU-R002-C01","HU-R002","digit-gxo","Commercial status","Multi-year Robots-as-a-Service agreement","operator","GXO confirms the proof-of-concept pilot. A joint company release hosted by Agility then announces the multi-year agreement and describes Digit robots as fully operational in the live warehouse.","gxo-pilot-2023 | agility-agreement-2024","","","","","","",""
"HU-R002-C02","HU-R002","digit-gxo","Task output","100,000+ totes moved at the Flowery Branch facility","manufacturer","Agility alone reports the cumulative milestone. It provides no operating-hour, attempt, retry, fleet-size or intervention denominator, so the number is output rather than a success or reliability rate.","agility-100k","","","","","","",""
"HU-R002-C03","HU-R002","digit-gxo","Deployment duration","One-year anniversary of full-time deployment reported","manufacturer","Agility's anniversary language establishes elapsed calendar time, not robot operating hours, scheduled time or availability. GXO has not published a corresponding duration metric in the reviewed sources.","agility-next-steps","full-time deployment","one-year anniversary","calendar time","technical_availability","different_metric","","An anniversary establishes how long the commercial program had existed. It does not disclose how many hours the robots were scheduled, operating or unavailable."
"HU-R002-C04","HU-R002","digit-gxo","Task definition","Move totes between autonomous mobile robots and a conveyor","operator","The site and AMR-to-conveyor workflow are described by GXO for the pilot and repeated in the later joint commercial announcement.","gxo-pilot-2023 | agility-agreement-2024","","","","","","",""
"HU-R002-C05","HU-R002","digit-gxo","Commercial start","5 June 2024","manufacturer","Agility identifies this as the start of commercial operations. The later joint agreement confirms commercial status but does not independently restate the start date.","agility-deployed-2024 | agility-agreement-2024","","","","","","",""
"HU-R002-C06","HU-R002","digit-gxo","Autonomy boundary","Autonomous operation asserted; autonomous-time share not quantified","manufacturer","Agility describes the commercial workflow as autonomous. No reviewed source separates autonomous execution, supervision, teleoperation, exception handling or recovery time.","agility-agreement-2024 | agility-next-steps","","","","","","",""
"HU-R002-C07","HU-R002","digit-gxo","Fleet scope","Multiple Digit robots described; exact deployed count not published","manufacturer","The commercial announcements use plural language but provide no unit count or unit-level output and runtime distribution.","agility-deployed-2024 | agility-agreement-2024 | agility-100k","","","","","","",""
"HU-R003-C01","HU-R003","walker-s2-continuous-operation","Battery swap","Autonomous battery swap within three minutes","manufacturer","The product page says the robot can complete the swap within three minutes. It does not identify whether this is a target, best case, mean or maximum across tests, and publishes no success rate, trial count or operator confirmation.","ubtech-product","","","","","","",""
"HU-R003-C02","HU-R003","walker-s2-continuous-operation","Continuous operation","24/7 continuous operation","claim","Describes intended capability enabled by the battery architecture. It is not measured availability, does not mean uninterrupted task execution and has no stated observation window.","ubtech-product | ubtech-overview","continuous operation","24/7","","technical_availability","incomplete","","The product page describes an intended continuous-operation capability. It publishes no observed time series or inputs from which measured availability could be calculated."
"HU-R003-C03","HU-R003","walker-s2-continuous-operation","Energy architecture","Dual-battery hot-swappable system","manufacturer","The page describes dual- and single-battery modes plus automatic selection between swapping and charging. It provides no measured energy duty cycle or evidence that production work continues through every swap.","ubtech-product","","","","","","",""
"HU-R003-C04","HU-R003","walker-s2-continuous-operation","Commercial maturity","Mass production and delivery claimed","manufacturer","The current product page presents Walker S2 as in mass production and delivery. That commercial-status statement does not supply operator-level runtime or reliability evidence.","ubtech-product","","","","","","",""
"HU-R003-C05","HU-R003","walker-s2-continuous-operation","Autonomy boundary","Battery replenishment described as autonomous; task autonomy not measured","manufacturer","The autonomy claim is specific to battery monitoring, swap or charge selection and the swapping procedure. It does not quantify autonomous task time, supervision, recovery or human intervention in an industrial workflow.","ubtech-product","","","","","","",""
"HU-R004-C01","HU-R004","figure-03-bmw","Project existence","Figure 03 sequencing project at BMW Group Plant Spartanburg","operator","BMW confirms the robot, site and intended logistics use case. Its announcement is forward-looking and does not establish that routine production operation had begun.","bmw-figure03","","","","","","",""
"HU-R004-C02","HU-R004","figure-03-bmw","Project stage","Operator announcement plus manufacturer-described first demonstration","operator","BMW says Figure 03 will now start on the application; Figure later describes a first demonstration. HumanoidUptime therefore does not classify the record as a quantified field deployment.","bmw-figure03 | figure-figure03","","","","","","",""
"HU-R004-C03","HU-R004","figure-03-bmw","Task definition","Pick parts and sort them into a sequencing trolley for onward transport","operator","BMW defines parts moving from bulk containers into a sequencing trolley for onward transport. No attempts, completed sequences, throughput or success criterion is published.","bmw-figure03","","","","","","",""
"HU-R004-C04","HU-R004","figure-03-bmw","Control system","Helix 02 whole-body control asserted for the demonstration","manufacturer","Figure describes perception-led corrections and whole-body control, but does not publish an autonomous-time share or separate supervision, teleoperation, resets and recovery.","figure-figure03","","","","","","",""
"HU-R005-C01","HU-R005","unitree-g1-fraunhofer-ipa","Test configuration","G1 EDU-4, Dex3-1 three-finger hands, firmware 1.04","independent","Fraunhofer identifies the tested configuration and states that the unit was delivered in May 2025; results should not be generalized to other variants or firmware versions without qualification.","ipa-benchmark-press | ipa-benchmark-detail","","","","","","",""
"HU-R005-C02","HU-R005","unitree-g1-fraunhofer-ipa","Energy and endurance","239 W mean power and 1:49 h derived per-charge endurance in the defined typical scenario","independent","Fraunhofer measures power in standardized standing and walking conditions and derives maximum operating times from those results. The 1:49 figure is not presented as an observed continuous field run or cumulative runtime. Fraunhofer also reports 154 W standing, 272 W level walking, 283 W at 10% incline and a derived 2:49 h for standing only.","ipa-benchmark-detail","maximum operating time in the typical scenario","1:49 h","per charge","technical_availability","different_metric","","This is a scenario-derived energy-endurance result. It is valid for the stated laboratory scenario, but it does not measure availability against scheduled operating time."
"HU-R005-C03","HU-R005","unitree-g1-fraunhofer-ipa","Walking speed","0.49 m/s slow and 0.84 m/s fast walking measured with 3D tracking","independent","A 3 kg load did not reduce steady walking speed in the described test, but increased acceleration and deceleration time by several tenths of a second.","ipa-benchmark-detail","","","","","","",""
"HU-R005-C04","HU-R005","unitree-g1-fraunhofer-ipa","Thermal constraint","Outstretched arms could shut down after one to two minutes without added payload","independent","Fraunhofer attributes the shutdown and dropping arms to actuator overheating. No frequency across repeated trials or recovery time is published.","ipa-benchmark-detail","","","","","","",""
"HU-R005-C05","HU-R005","unitree-g1-fraunhofer-ipa","Collision force","Mean peak forces of approximately 510 N at the chest and 530 N at the abdomen in specified walking collisions","independent","Fraunhofer's public safety guide states that displayed values are mean peak forces from at least three trials per scenario with the robot in fast mode at about 1 m/s. It does not publish the underlying observations, spread or unit-to-unit variation.","ipa-safety-guide-2025 | ipa-safety-2026 | ipa-benchmark-press","","","","","","",""
"HU-R005-C06","HU-R005","unitree-g1-fraunhofer-ipa","Stability and recovery","No balance loss on cable-channel steps or a 20% ramp; recovery depended on floor friction","independent","Self-stabilization was strong in the described tests, while standing up from the back failed on smooth tile and wood because the arms could slip.","ipa-benchmark-detail","","","","","","",""
"HU-R005-C07","HU-R005","unitree-g1-fraunhofer-ipa","Cybersecurity","Bluetooth remote-code-execution vulnerability found in the tested software state","independent","Fraunhofer reports that the vulnerability persisted across several firmware updates and was subsequently closed by a newer update.","ipa-benchmark-press | ipa-benchmark-detail","","","","","","",""
"HU-R005-C08","HU-R005","unitree-g1-fraunhofer-ipa","Delivered autonomy","Remote-controlled walking available after delivery; further capabilities require user implementation","independent","This is the observed baseline of the tested EDU configuration, not a claim about every later software stack built on the platform.","ipa-benchmark-detail","","","","","","",""
"HU-R006-C01","HU-R006","hmnd-01-siemens-erlangen","Deployment scope","Two-week on-site proof of concept at Siemens' electronics factory in Erlangen","manufacturer","Humanoid specifies the two-phase program and two-week factory period. Siemens independently confirms the factory and operational test, but its later release does not restate the two-week duration.","humanoid-siemens-poc-2026 | siemens-humanoid-2026","","","","","","",""
"HU-R006-C02","HU-R006","hmnd-01-siemens-erlangen","Task","Pick totes from a stack, transport them to a conveyor and place them for human operators","operator","Both parties describe an autonomous tote-handling workflow. Humanoid adds that the sequence repeated until the stack was empty and used two tote sizes.","humanoid-siemens-poc-2026 | siemens-humanoid-2026","","","","","","",""
"HU-R006-C03","HU-R006","hmnd-01-siemens-erlangen","Throughput","60 tote moves per hour","operator","Siemens and Humanoid report that the target was met. Neither publishes the observation count, distribution, pauses or throughput variability.","humanoid-siemens-poc-2026 | siemens-humanoid-2026 | nvidia-siemens-case-study","","","","","","",""
"HU-R006-C04","HU-R006","hmnd-01-siemens-erlangen","Reported uptime","Uptime exceeding 8 hours","operator","The sources do not define scheduled time, downtime, exclusions or whether the eight hours were cumulative. Humanoid separately reports more than 30 minutes of continuous autonomous task execution, so HumanoidUptime does not convert this figure into availability.","humanoid-siemens-poc-2026 | siemens-humanoid-2026 | nvidia-siemens-case-study","uptime","exceeding 8","hours","technical_availability","incomplete","","The source uses the word “uptime”, but the published inputs do not support a technical-availability percentage."
"HU-R006-C05","HU-R006","hmnd-01-siemens-erlangen","Continuous autonomous run","More than 30 minutes","manufacturer","This is the only explicitly bounded continuous autonomous interval in the detailed POC account. The source provides no intervention or stop-event log for the interval.","humanoid-siemens-poc-2026","","","","","","",""
"HU-R006-C06","HU-R006","hmnd-01-siemens-erlangen","Pick-and-place success","Above 90% autonomous pick-and-place success","operator","Siemens corroborates the autonomous rate. Humanoid additionally says both overall and autonomous rates exceeded 90%, but neither source defines attempts, retries, failures or human-assisted completions.","humanoid-siemens-poc-2026 | siemens-humanoid-2026 | nvidia-siemens-case-study","","","","","","",""
"HU-R006-C07","HU-R006","hmnd-01-siemens-erlangen","Autonomy and integration","Autonomous execution integrated with the Siemens factory environment","operator","The task is described as autonomous and Siemens identifies its industrial integration layer. No breakdown of supervised, teleoperated, recovery or autonomous time is published.","siemens-humanoid-2026 | humanoid-siemens-poc-2026","","","","","","",""
"HU-R007-C01","HU-R007","sanctuary-canadian-tire","Deployment scope","One-week pilot at a Canadian Tire-owned Mark's retail store in Langley","manufacturer","Sanctuary names the operator, banner, city and duration. Canadian Tire's own venture page confirms its investment relationship with Sanctuary but does not independently describe the pilot.","sanctuary-ctc-deployment-2023 | ctc-sanctuary-portfolio","","","","","","",""
"HU-R007-C02","HU-R007","sanctuary-canadian-tire","Task breadth","110 retail-related tasks completed correctly","manufacturer","Examples include picking and packing, cleaning, tagging, labelling and folding. The source does not clarify whether 110 means distinct task types, executions or another counting unit.","sanctuary-ctc-deployment-2023","","","","","","",""
"HU-R007-C03","HU-R007","sanctuary-canadian-tire","Task success","Tasks described as completed correctly","manufacturer","No total attempt count, failed-task count, retry rule or success criterion is published, so a task-success rate cannot be calculated.","sanctuary-ctc-deployment-2023","","","","","","",""
"HU-R007-C04","HU-R007","sanctuary-canadian-tire","Work setting","Front- and back-of-store activities in a real-life retail environment","manufacturer","This establishes a customer commercial facility rather than a laboratory. It does not establish continuous production use, paid output or operation during normal customer traffic.","sanctuary-ctc-deployment-2023","","","","","","",""
"HU-R007-C05","HU-R007","sanctuary-canadian-tire","Autonomy","Not disclosed for the Mark's pilot","unknown","Sanctuary later explained that its robots can work autonomously while most videos in its Robots Doing Stuff series are teleoperated. That general disclosure does not determine the mode used in this pilot.","sanctuary-ctc-deployment-2023 | sanctuary-teleoperation-2024","","","","","","",""
"HU-R007-C06","HU-R007","sanctuary-canadian-tire","Robot identity","Unnamed Sanctuary general-purpose robot","manufacturer","The deployment release does not name a generation. Sanctuary says Phoenix was unveiled on 16 May 2023, after the January pilot, so HumanoidUptime does not retroactively label the tested system as Phoenix.","sanctuary-ctc-deployment-2023 | sanctuary-phoenix-retrospective","","","","","","",""
"HU-R007-C07","HU-R007","sanctuary-canadian-tire","Operator response","Canadian Tire executive describes operational-efficiency exploration and shifting people toward higher-value work","manufacturer","The quotation is attributed to a named Canadian Tire executive but appears in Sanctuary's release. No standalone Canadian Tire result or quantitative efficiency evidence was found in the reviewed source set.","sanctuary-ctc-deployment-2023 | ctc-sanctuary-portfolio","","","","","","",""
"HU-R008-C01","HU-R008","digit-schaeffler-cheraw","Named factory task","Load and unload an industrial washing-machine workflow at Schaeffler's Cheraw plant","operator","Schaeffler identifies the plant, robot and material-handling workflow. Its later CEO report describes Digit transporting heavy components at the site, but neither source publishes task attempts, completed cycles or rejects.","schaeffler-tomorrow-digit | schaeffler-agm-digit-2026","","","","","","",""
"HU-R008-C02","HU-R008","digit-schaeffler-cheraw","Calendar evidence span","Task reported as starting in early 2025 and still described as active in April 2026","operator","This establishes a public activity window of more than one year. It does not establish continuous deployment, cumulative operating hours, scheduled time or availability within that window.","schaeffler-tomorrow-digit | schaeffler-agm-digit-2026","public activity window","early 2025 to April 2026","calendar time","technical_availability","different_metric","","The dated sources establish that the program was publicly active across this period. They do not establish continuous operation or availability within it."
"HU-R008-C03","HU-R008","digit-schaeffler-cheraw","Deployment boundary","Schaeffler describes the work as a pilot project while also discussing a potentially permanent commercial setting","operator","The operator's own wording does not cleanly establish a completed transition from pilot to scaled commercial deployment. HumanoidUptime therefore records active factory use without inferring commercial fleet maturity.","schaeffler-tomorrow-digit","","","","","","",""
"HU-R008-C04","HU-R008","digit-schaeffler-cheraw","Purchase agreement","Agility reported an agreement for Schaeffler to purchase Digits for its global plant network","manufacturer","The announcement establishes customer intent and an investment relationship. It does not specify delivered units, sites, acceptance results or operating performance and is not evidence that the entire global rollout occurred.","agility-schaeffler-agreement-2024","","","","","","",""
"HU-R009-C01","HU-R009","aeon-bmw-leipzig","Project and site","Pilot project at BMW Group Plant Leipzig","operator","BMW identifies AEON, Hexagon Robotics and Plant Leipzig and describes the project as its first European humanoid pilot. This establishes the program and factory context, not its reliability performance.","bmw-aeon-press-2026 | bmw-aeon-feature-2026","","","","","","",""
"HU-R009-C02","HU-R009","aeon-bmw-leipzig","Evaluation sequence","Laboratory evaluation followed by a December 2025 plant test and staged integration in 2026","operator","BMW confirms the theoretical review, laboratory testing and December 2025 test deployment. Its February and March accounts scheduled another test from April and full pilot integration for summer; those future dates are not treated as completed results.","bmw-aeon-press-2026 | bmw-aeon-feature-2026","","","","","","",""
"HU-R009-C03","HU-R009","aeon-bmw-leipzig","Production-task milestone","AEON began performing production tasks on 12 June 2026, according to Hexagon Robotics","manufacturer","Hexagon reports the milestone and says training for future manufacturing applications continued at the same time. No reviewed BMW update independently dates this transition or publishes the task count, schedule or operating duration.","hexagon-aeon-bmw-milestone-2026","","","","","","",""
"HU-R009-C04","HU-R009","aeon-bmw-leipzig","Work areas","High-voltage battery assembly and component production","operator","BMW names battery production for energy modules and exterior-component production as the planned pilot areas. Hexagon's June update says battery assembly was still expected to move from the Innovation Garage into the factory in future pilot activity, so HumanoidUptime does not treat every named area as an already completed production task.","bmw-aeon-press-2026 | bmw-aeon-feature-2026 | hexagon-aeon-bmw-milestone-2026","","","","","","",""
"HU-R009-C05","HU-R009","aeon-bmw-leipzig","Material movement","Material delivery to the line and obstacle-aware movement described by BMW","operator","BMW's feature describes AEON delivering material and navigating around obstacles. It provides no route length, completed delivery count, attempt denominator, throughput or exception log.","bmw-aeon-feature-2026","","","","","","",""
"HU-R009-C06","HU-R009","aeon-bmw-leipzig","Autonomy boundary","The next phase is intended to increase autonomy, robustness and operational performance","manufacturer","The forward-looking statement shows that those attributes remain development objectives. It does not disclose the current autonomous-time share, supervision, teleoperation, human interventions or a measured robustness result.","hexagon-aeon-bmw-milestone-2026","","","","","","",""
"HU-R009-C07","HU-R009","aeon-bmw-leipzig","Energy capability","Up to four hours per charge and automatic battery swapping claimed at product level","claim","Hexagon's product page states the maximum per-charge duration and auto-swap capability. No Leipzig source reports measured endurance, swap frequency, swap success, charging downtime or continuous operation under the pilot workload.","hexagon-aeon-product","battery life","up to 4","hours per charge","technical_availability","different_metric","","Maximum battery endurance is a product capability, not a measurement of how much scheduled pilot time AEON remained available."
