"record_id","record_slug","source_id","title","publisher","source_type","published_at","accessed_at","url","relevant_location","archive_reference","archive_access","captured_at","captured_media_type","captured_byte_length","content_fingerprint","content_fingerprint_algorithm","source_metadata_fingerprint"
"HU-R001","figure-02-bmw","bmw-trial-2024","Successful test of humanoid robots at BMW Group Plant Spartanburg","BMW Group","Operator statement","2024-08-06","2026-09-04","https://www.press.bmwgroup.com/global/article/detail/T0444265EN/successful-test-of-humanoid-robots-at-bmw-group-plant-spartanburg?showMedia=photo","Article body, opening trial description and manufacturer-attributed paragraphs under ‘Figure 02 embodies the latest technological advances in robotics’.","HU-SA-R001-001","internal_evidence_only","2026-09-04T14:10:49Z","text/html;charset=UTF-8","67461","db9d522f6a8621bd9cc38ecc1f31296a92cd4ee14bf7c6f4694d45ff53758293","sha256","d64e1b487ef0debf578e54e1e26cc2886a0da8e69cfc73f9ff688f11c2356254"
"HU-R001","figure-02-bmw","figure-results-2025","F.02 Contributed to the Production of 30,000 Cars at BMW","Figure AI","Manufacturer statement","2025-11-19","2026-09-04","https://www.figure.ai/news/production-at-bmw","Sections ‘BMW Deployment Highlights’, ‘Deployment Overview’, ‘Hardware Reliability and Learnings’ and ‘Conclusion’.","HU-SA-R001-002","internal_evidence_only","2026-09-04T14:08:31Z","text/html; charset=utf-8","42412","dfbeaf3837633177203af46006691f93200bd1a9a846109b6428c28f0e6fb014","sha256","6f808dcca239b336149e445dbc98015d4e7469eb1a1664b8a19ef58f83f7ff38"
"HU-R001","figure-02-bmw","bmw-results-2026","BMW Group first to deploy humanoid robots in production in Germany","BMW Group","Operator statement","2026-02-27","2026-09-04","https://www.press.bmwgroup.com/global/article/attachment/T0455864EN/644966","PDF page 4, section ‘Successful pilot at BMW Group Plant Spartanburg provides key insights for use of humanoid robots in production’.","HU-SA-R001-003","internal_evidence_only","2026-09-04T14:10:50Z","application/pdf","265977","65fb8dac3cc6547282725d3cb99d68973103a0a0ebede69ab53c1cbce522972a","sha256","f8704b76f6056daab7ade6e7cce89e5a6f914472d00075806018c1b11ac59f86"
"HU-R001","figure-02-bmw","bmw-figure03-2026","BMW Group advances the use of Physical AI in production with Figure 03 project in Spartanburg","BMW Group","Operator statement","2026-06-25","2026-09-04","https://www.press.bmwgroup.com/global/article/detail/T0458778EN/bmw-group-advances-the-use-of-physical-ai-in-production-with-figure-03-project-in-spartanburg?showMedia=photo","Article body, paragraphs describing the completed Figure 02 pilot and the following ‘Next step with the next-generation Figure 03 robot’ section.","HU-SA-R001-004","internal_evidence_only","2026-09-04T14:10:51Z","text/html;charset=UTF-8","70085","22170432f02d5012a0da55580b07b8848ebc90296e0887b673e84d16448e20be","sha256","bb0451e839b7454d57c99ea5aff2a5353043a2153e6242d399610ef2e9cebf67"
"HU-R002","digit-gxo","gxo-pilot-2023","GXO conducting industry-leading pilot of human-centric robot","GXO Logistics","Operator statement","2023-12-06","2026-09-04","https://gxo.com/news_article/gxo-conducting-industry-leading-pilot-of-human-centric-robot/","","","","","","","","","ba0b50802d3d458e87f51b8f9b99302b9cbe3522b7fb9ae208f829b8690a3a92"
"HU-R002","digit-gxo","agility-deployed-2024","Digit Deployed at GXO in Historic Humanoid RaaS Agreement","Agility Robotics","Manufacturer statement","2024-06-05","2026-09-04","https://www.agilityrobotics.com/content/digit-deployed-at-gxo-in-historic-humanoid-raas-agreement","","","","","","","","","ce2a81ef922684994a1b7a406bd2c4080c43b1c2d8d7355a7ec4fffc79263756"
"HU-R002","digit-gxo","agility-agreement-2024","GXO Signs Industry-First Multi-Year Agreement with Agility Robotics","Agility Robotics / GXO","Joint company statement","2024-06-27","2026-09-04","https://www.agilityrobotics.com/content/gxo-signs-industry-first-multi-year-agreement-with-agility-robotics","","","","","","","","","543e43514d55dbe3a4c526e0cb2e8d51b4d30abbb1ff88730c1304d8b586a984"
"HU-R002","digit-gxo","agility-100k","Digit Moves Over 100,000 Totes in Commercial Deployment","Agility Robotics","Manufacturer statement","","2026-09-04","https://www.agilityrobotics.com/content/digit-moves-over-100k-totes","","","","","","","","","7bea82a4a96b40f7fcebf952bd22087fcde6c2db7ebba04118abe8d3727d969b"
"HU-R002","digit-gxo","agility-next-steps","Digit's Next Steps","Agility Robotics","Manufacturer statement","","2026-09-04","https://www.agilityrobotics.com/content/digits-next-steps","","","","","","","","","92e4f20735dee14d3d65356157924fe23f52d6b7bf37c83387b9549ca21804ad"
"HU-R003","walker-s2-continuous-operation","ubtech-product","Walker S2 — Industrial Humanoid Robot","UBTECH Robotics","Manufacturer product page","","2026-09-04","https://www.ubtrobot.com/en/humanoid/products/walker-s2","","","","","","","","","b2da0178e1b3f7cd6114e03ffa3fee611ab672d3eb3e93263dda89b9e53f9daa"
