"deployment_id","record_slug","manufacturer","model","operator","location","task","stage","stage_label","first_evidence_at","evidence_level","evidence_label","summary","reliability_disclosure","source_title","source_publisher","source_published_at","source_accessed_at","source_url","source_metadata_fingerprint"
"figure-02-bmw-spartanburg","figure-02-bmw","Figure AI","Figure 02","BMW Group","Spartanburg, South Carolina, USA","Load sheet-metal parts into body-shop fixtures","field","Completed production","2024-08-06","operator","Operator corroborated","BMW and Figure report a ten-month production deployment with more than 1,250 operating hours and 90,000 parts loaded.","Runtime and output are quantified; availability, intervention rate, MTBF and MTTR are not published.","BMW Group first to deploy humanoid robots in production in Germany","BMW Group","2026-02-27","2026-09-03","https://www.press.bmwgroup.com/global/article/attachment/T0455864EN/644966","c52e1432e8b4b9f60739d7cf788768426cc3278d36676ebc0d4578f35ccc0d03"
"digit-gxo-flowery-branch","digit-gxo","Agility Robotics","Digit","GXO","Flowery Branch, Georgia, USA","Move totes between autonomous mobile robots and a conveyor","field","Commercial","2023-12-06","operator","Operator corroborated","GXO confirmed the initial pilot; a multi-year RaaS agreement and more than 100,000 totes were later reported by Agility.","No operating-hour denominator, measured availability, recovery time or intervention rate is public.","GXO conducting industry-leading pilot of human-centric robot","GXO","2023-12-06","2026-09-03","https://gxo.com/news_article/gxo-conducting-industry-leading-pilot-of-human-centric-robot/","6891e3fd063475ae8c4f5c85c80dbb7717598a6e2d65f9b56cf4491b361887f0"
"figure-03-bmw-spartanburg","figure-03-bmw","Figure AI","Figure 03","BMW Group","Spartanburg, South Carolina, USA","Pick parts and sort them into sequencing trolleys","field","Early project","2026-06-25","operator","Operator corroborated","BMW confirms the project and logistics task at Plant Spartanburg.","No runtime, output, fleet size, intervention or failure data has been published.","BMW Group advances the use of Physical AI in production with Figure 03 project in Spartanburg","BMW Group","2026-06-25","2026-09-03","https://www.press.bmwgroup.com/global/article/detail/T0458778EN/bmw-group-advances-the-use-of-physical-ai-in-production-with-figure-03-project-in-spartanburg?showMedia=photo","f4eea3d7299eacba699375e433ca4c5023138a7751c67b46fa75f3cadbd4fcb5"
"unitree-g1-fraunhofer-ipa","unitree-g1-fraunhofer-ipa","Unitree Robotics","Unitree G1 EDU-4","Fraunhofer IPA","Stuttgart, Germany","Controlled safety, energy, locomotion and security tests","research","Independent benchmark","2026-02-12","independent","Independently measured","A named single-unit configuration was tested under disclosed laboratory scenarios.","Per-charge endurance, power, speed, collision force and thermal limits are measured; field availability is not.","Standardized analyses for application-relevant criteria of humanoid robots","Fraunhofer IPA","2026-06-03","2026-09-03","https://interaktiv.ipa.fraunhofer.de/embodied-ai/fraunhofer-ipa-entwickelt-standardisierte-analysen-fuer-anwendungsrelevante-kriterien-humanoider-roboter/","e3cd0a8132e2be3fffa21c62ffa3a7cdfce15a6c8aa02b36008780f8e69243d2"
"walker-s2-continuous-operation","walker-s2-continuous-operation","UBTECH Robotics","Walker S2","No operator named","Product-level claim","Autonomous hot-swappable battery operation","research","Product claim","2025-09-16","claim","Capability claim","UBTECH describes a dual-battery design and an autonomous battery exchange within three minutes.","The 24/7 statement has no published operator observation window, swap success rate or maintenance denominator.","Walker S2 — Industrial Humanoid Robot","UBTECH Robotics","","2026-09-03","https://www.ubtrobot.com/en/humanoid/products/walker-s2","1248cb1f8ac4c14ed24fada92fba7425ca3749407784bd6f282cf3b1b3074ee1"
"apollo-mercedes-berlin","apollo-mercedes-berlin","Apptronik","Apollo","Mercedes-Benz","Berlin-Marienfelde, Germany","Intralogistics, component transport and initial quality checks","pilot","Production-environment training","2024-03-15","operator","Operator corroborated","Mercedes-Benz says Apollo collected production-environment data and is being trained toward autonomous operation at its Digital Factory Campus.","No fleet size, operating hours, task-success rate, intervention rate or availability is published.","AI and humanoid robots at the Digital Factory Campus","Mercedes-Benz Group","2025-03-18","2026-09-03","https://group.mercedes-benz.com/unternehmen/produktion/produktionsnetzwerk/mbdfc-humanoide-roboter.html","978f3835c712dd657b6e90691a4fec30fcf074c7a1f89c39cf7f605acf13011f"
"digit-amazon-seattle-rd","","Agility Robotics","Digit","Amazon","Amazon robotics R&D site south of Seattle, USA","Pick up and move empty totes for tote recycling","pilot","R&D test","2023-10-18","operator","Operator corroborated","Amazon announced testing of Digit at a robotics R&D site for a defined tote-recycling workflow.","No test results, duration, fleet size, task-success or intervention data is public.","Amazon introduces new robotics solutions","Amazon","2023-10-18","2026-09-04","https://www.aboutamazon.com/news/operations/amazon-introduces-new-robotics-solutions","b5859f89053f2ff201e772d77dad90a22a65f93c582acadb60ee0758f7485fea"
"apollo-jabil-validation","","Apptronik","Apollo","Jabil","Jabil manufacturing environment; site not disclosed","Inspection, sorting, kitting, delivery, fixture placement and sub-assembly","pilot","Validation pilot","2025-02-25","operator","Operator corroborated","Jabil announced real-world validation of newly manufactured Apollo units in its factory environment.","No start date, unit count, operating hours, output, failures or interventions is published.","Apptronik and Jabil collaborate to scale production of Apollo humanoid robots","Jabil","2025-02-25","2026-09-03","https://investors.jabil.com/news/news-details/2025/Apptronik-and-Jabil-Collaborate-to-Scale-Production-of-Apollo-Humanoid-Robots-and-Deploy-in-Manufacturing-Operations/default.aspx","9da25005a24f5df727372e0372402a3998a44ca3a0ac0f823deafbbefcd09f55"
"apollo-gxo-data-collection","","Apptronik","Apollo 2","GXO","GXO customer site or sites; locations not disclosed","Customer-driven logistics data collection and AI training","pilot","Customer-site data collection claimed","2024-06-20","manufacturer","Manufacturer reported","Apptronik says Apollo 2 data-collection workflows are deployed at GXO customer sites using a mixture of teleoperation and autonomous execution; GXO does not publish a site-level outcome.","No site, unit count, operating hours, task result, autonomy share, intervention rate, failure or recovery data is published.","Welcome to Robot Park: Where Apptronik’s Apollo Goes to Work","Apptronik","2026-06-30","2026-09-04","https://apptronik.com/news-collection/welcome-to-robot-park-where-apptroniks-apollo-goes-to-work","91a2d8f8b590529aaa0a5e3677687e1e8879f8ebbeb9fd666b1db36aa8c32e23"
"phoenix-magna-manufacturing","","Sanctuary AI","Phoenix","Magna","Magna manufacturing operations; sites not disclosed","Specific automotive manufacturing tasks not yet disclosed","planned","Deployment partnership","2024-04-11","manufacturer","Manufacturer reported","Sanctuary announced a partnership to develop robots for future deployment in Magna manufacturing operations; no later site-level deployment result was identified.","The source provides no confirmed deployment start, site, task, robot generation, fleet, runtime or outcome data.","Sanctuary AI expands general purpose robot footprint in automotive manufacturing","Sanctuary AI","2024-04-11","2026-09-04","https://sanctuary.ai/news/sanctuary-ai-expands-general-purpose-robot-footprint-in-automotive-manufacturing-industry/","fbca08c502109f8d7b78bd78b3ab8dfc08e6082da72c4ee62e93345740d2c6ed"
