"state_id","record_id","record_slug","knowledge_as_of","reviewed_at","state_kind","supersedes_state_id","superseded_by_state_id","title","summary","basis","facts","limitations","source_ids","runtime_hours_label","runtime_hours_evidence_level","runtime_hours_disclosure_state","availability_label","availability_evidence_level","availability_disclosure_state","interventions_label","interventions_evidence_level","interventions_disclosure_state","mtbf_label","mtbf_evidence_level","mtbf_disclosure_state","mttr_label","mttr_evidence_level","mttr_disclosure_state","task_output_label","task_output_evidence_level","task_output_disclosure_state","energy_operation_label","energy_operation_evidence_level","energy_operation_disclosure_state","autonomy_mode_label","autonomy_mode_evidence_level","autonomy_mode_disclosure_state","fleet_size_label","fleet_size_evidence_level","fleet_size_disclosure_state"
"HU-R010-H001","HU-R010","apollo-mercedes-berlin","2024-03-15","2026-09-04","reconstructed","","","A commercial exploration agreement is announced","Apptronik announced an agreement with Mercedes-Benz to identify Apollo applications in manufacturing and described intended logistics and inspection use cases. It did not publish a site-specific operating result, robot count or reliability measurement.","Reconstructed solely from Apptronik's dated March 2024 commercial-agreement announcement.","Apptronik described its first publicly announced commercial Apollo deployment agreement. | Potential use cases included delivering kitted parts and inspecting components. | The announcement discussed intended manufacturing applications rather than measured operation.","The source did not establish a named factory operating result. | Commercial agreement language did not fill any tracked reliability field.","apptronik-mercedes-agreement-2024","Not disclosed","unknown","unknown","Not disclosed","unknown","unknown","Not disclosed","unknown","unknown","Not disclosed","unknown","unknown","Not disclosed","unknown","unknown","Intended tasks only","unknown","unknown","Not disclosed","unknown","unknown","Not disclosed","unknown","unknown","Not disclosed","unknown","unknown"
"HU-R010-H002","HU-R010","apollo-mercedes-berlin","2025-03-18","2026-09-04","reconstructed","","","Mercedes documents production-environment training","Mercedes-Benz confirmed Apollo robots at its Berlin Digital Factory Campus, production-environment data collection and employee teaching through teleoperation and augmented reality. The source established the operating-mode boundary but still published no runtime or reliability result.","Reconstructed cumulatively from Apptronik's 2024 agreement and Mercedes-Benz's dated 18 March 2025 campus report.","Mercedes-Benz confirmed multiple Apollo robots at the Berlin-Marienfelde campus. | Employees transferred production knowledge through teleoperation and augmented reality. | Mercedes said the robots were learning to act autonomously.","Training interaction is disclosed, but operational intervention frequency is not. | No operating hours, task output, downtime, failure or recovery result was published.","apptronik-mercedes-agreement-2024 | mercedes-apollo-berlin-2025","Not disclosed","unknown","unknown","Not disclosed","unknown","unknown","Human teaching disclosed; rate unknown","operator","known","Not disclosed","unknown","unknown","Not disclosed","unknown","unknown","No result disclosed","unknown","unknown","Not disclosed","unknown","unknown","Teleoperation used; autonomy training underway","operator","known","Multiple robots described; exact count unknown","operator","known"
"HU-R002-H001","HU-R002","digit-gxo","2023-12-06","2026-09-04","reconstructed","","","GXO confirms a proof-of-concept pilot","GXO publicly confirmed a Digit pilot for moving totes between autonomous mobile robots and a conveyor. The operator described the workflow but did not publish operating hours, output, failures, downtime, interventions or fleet size.","Reconstructed from GXO's dated proof-of-concept announcement using only information public in that source.","GXO identified the facility and the AMR-to-conveyor tote workflow. | The deployment stage was a proof-of-concept pilot.","No tracked reliability field had a qualifying public value. | A described workflow did not establish commercial operation or measured reliability.","gxo-pilot-2023","Not disclosed","unknown","unknown","Not disclosed","unknown","unknown","Not disclosed","unknown","unknown","Not disclosed","unknown","unknown","Not disclosed","unknown","unknown","Task described; volume not disclosed","unknown","unknown","Not disclosed","unknown","unknown","Not disclosed","unknown","unknown","Not disclosed","unknown","unknown"
"HU-R002-H002","HU-R002","digit-gxo","2024-06-27","2026-09-04","reconstructed","","","The pilot becomes a commercial agreement","GXO and Agility announced a multi-year Robots-as-a-Service agreement and described Digit robots as fully operational in the live warehouse. Commercial maturity advanced, but the announcement added no quantified runtime, output, availability, failures or intervention data.","Reconstructed cumulatively from GXO's pilot announcement and the dated June 2024 commercial deployment announcements.","Agility identified 5 June 2024 as the start of commercial operations. | GXO and Agility announced a multi-year RaaS agreement on 27 June 2024. | The announcement described multiple Digit robots but did not state the deployed count.","Commercial status is not a reliability metric. | No denominator allowed availability, task success or intervention rate to be calculated.","gxo-pilot-2023 | agility-deployed-2024 | agility-agreement-2024","Not disclosed","unknown","unknown","Not disclosed","unknown","unknown","Not disclosed","unknown","unknown","Not disclosed","unknown","unknown","Not disclosed","unknown","unknown","Not disclosed","unknown","unknown","Not disclosed","unknown","unknown","Operating mode not quantified","unknown","unknown","Multiple robots; count not disclosed","unknown","unknown"
"HU-R001-H001","HU-R001","figure-02-bmw","2024-08-06","2026-09-04","reconstructed","","","A multi-week factory trial becomes public","BMW confirmed that Figure 02 had inserted sheet-metal parts during a trial lasting several weeks. It published no operating hours, output count, downtime, failure count or intervention count, and said no Figure robots remained at the plant after the trial.","Reconstructed from BMW Group's dated trial release using only information public in that source.","BMW described a trial lasting several weeks in a real body-shop process. | Figure 02 inserted sheet-metal parts into fixtures for chassis assembly. | BMW stated that no Figure robots remained at the plant and gave no timetable for a return.","The autonomy wording was attributable to Figure, not a quantified BMW measurement. | No denominator allowed a reliability or success rate to be calculated.","bmw-trial-2024","Not disclosed","unknown","unknown","Not disclosed","unknown","unknown","Not disclosed","unknown","unknown","Not disclosed","unknown","unknown","Not disclosed","unknown","unknown","Task described; volume not disclosed","unknown","unknown","Not disclosed","unknown","unknown","Autonomous execution claimed; share unknown","manufacturer","known","Not disclosed","unknown","unknown"
"HU-R001-H002","HU-R001","figure-02-bmw","2025-11-19","2026-09-04","reconstructed","","","Quantified runtime and output appear","Figure reported 1,250+ operating hours, 90,000+ parts and an 11-month deployment. The manufacturer also said every intervention was logged and described minimal hardware failures, but published neither count nor rate.","Reconstructed from the 2024 BMW trial release and Figure's dated final Figure 02 deployment report.","Figure reported 1,250+ operating hours and 90,000+ parts loaded. | Figure described 10-hour shifts from Monday through Friday. | Figure disclosed that interventions were logged and identified the forearm as the top hardware failure point.","The new totals were manufacturer-reported at this point in the source chronology. | Scheduled time, downtime, fleet size, intervention count, MTBF and MTTR remained unpublished.","bmw-trial-2024 | figure-results-2025","1,250+ hours","manufacturer","known","Not disclosed","unknown","unknown","Logged, count not published","unknown","unknown","Not disclosed","unknown","unknown","Not disclosed","unknown","unknown","90,000+ parts","manufacturer","known","Not disclosed","unknown","unknown","Described; share unknown","manufacturer","known","Not disclosed","unknown","unknown"
"HU-R001-H003","HU-R001","figure-02-bmw","2026-02-27","2026-09-04","reconstructed","","HU-R001-H004","BMW corroborates the headline totals","BMW subsequently confirmed approximately 1,250 operating hours, more than 90,000 components and ten months of production support. The numbers moved from manufacturer-only reporting to operator corroboration, while core reliability denominators remained absent.","Reconstructed cumulatively from the 2024 BMW release, Figure's 2025 report and BMW Group's dated 2026 production release.","BMW confirmed around 1,250 operating hours and more than 90,000 moved components. | BMW tied the result to ten months and ten-hour weekday shifts. | Operator corroboration strengthened the provenance of the runtime and output totals.","The source still did not publish scheduled robot time, downtime, fleet size or intervention frequency. | The ten-month BMW scope and Figure's earlier 11-month deployment description were not reconciled.","bmw-trial-2024 | figure-results-2025 | bmw-results-2026","1,250+ hours","operator","known","Not disclosed","unknown","unknown","Logged, count not published","unknown","unknown","Not disclosed","unknown","unknown","Not disclosed","unknown","unknown","90,000+ parts","operator","known","Not disclosed","unknown","unknown","Described; share unknown","operator","known","Not disclosed","unknown","unknown"
"HU-R001-H004","HU-R001","figure-02-bmw","2026-02-27","2026-09-04","reconstructed","HU-R001-H003","","BMW corroborates the headline totals","BMW subsequently confirmed approximately 1,250 operating hours, more than 90,000 components and ten months of production support. Runtime and output moved from manufacturer-only reporting to operator corroboration; the autonomy description remained attributable to Figure and core reliability denominators remained absent.","Correction to HU-R001-H003 after separating the BMW-hosted operator account from autonomy wording attributable to Figure. The runtime and output corroboration is unchanged.","BMW confirmed around 1,250 operating hours and more than 90,000 moved components. | BMW tied the result to ten months and ten-hour weekday shifts. | Operator corroboration strengthened the provenance of the runtime and output totals; autonomy remained manufacturer-reported.","The source still did not publish scheduled robot time, downtime, fleet size or intervention frequency. | The ten-month BMW scope and Figure's earlier 11-month deployment description were not reconciled.","bmw-trial-2024 | figure-results-2025 | bmw-results-2026","1,250+ hours","operator","known","Not disclosed","unknown","unknown","Logged, count not published","unknown","unknown","Not disclosed","unknown","unknown","Not disclosed","unknown","unknown","90,000+ parts","operator","known","Not disclosed","unknown","unknown","Claimed; share unknown","manufacturer","known","Not disclosed","unknown","unknown"
"HU-R006-H001","HU-R006","hmnd-01-siemens-erlangen","2026-01-15","2026-09-04","reconstructed","","","Humanoid publishes quantified POC results","Humanoid reported a two-week Siemens factory POC, 60 tote moves per hour, above-90% autonomous pick-and-place success, more than 30 minutes of continuous autonomous execution and uptime exceeding eight hours. At this stage, the quantified results were manufacturer-reported.","Reconstructed solely from Humanoid's dated 15 January 2026 account; Siemens had not yet published its own results statement.","Humanoid described a two-week on-site POC at Siemens' Erlangen electronics factory. | The manufacturer reported 60 tote moves per hour and above-90% autonomous pick-and-place success. | The manufacturer separately reported more than 30 minutes of continuous autonomous execution and uptime exceeding eight hours.","The source did not define the uptime denominator or observation continuity. | Attempts, intervention frequency, downtime, MTBF and MTTR were not published.","humanoid-siemens-poc-2026",">8 h reported; scope unclear","manufacturer","known","Not derivable","unknown","unknown","Not disclosed","unknown","unknown","Not disclosed","unknown","unknown","Not disclosed","unknown","unknown","60 moves/h; >90% autonomous","manufacturer","known","Not disclosed","unknown","unknown","Autonomous task execution","manufacturer","known","1 robot described","manufacturer","known"
"HU-R006-H002","HU-R006","hmnd-01-siemens-erlangen","2026-04-16","2026-09-04","reconstructed","","","Siemens corroborates the factory results","Siemens confirmed the autonomous tote workflow, 60 moves per hour, uptime exceeding eight hours and above-90% autonomous pick-and-place success. Four tracked fields moved from manufacturer-only reporting to operator corroboration; the missing reliability denominators did not change.","Reconstructed cumulatively from Humanoid's January report and Siemens' dated 16 April 2026 press release.","Siemens confirmed the robot and autonomous tote-handling workflow at its Erlangen factory. | Siemens repeated the throughput, uptime and autonomous success figures. | The provenance strengthened even though the numeric values did not change.","Operator corroboration does not supply the missing uptime definition or observation window. | No intervention, downtime, failure or recovery counts were published.","humanoid-siemens-poc-2026 | siemens-humanoid-2026",">8 h reported; scope unclear","operator","known","Not derivable","unknown","unknown","Not disclosed","unknown","unknown","Not disclosed","unknown","unknown","Not disclosed","unknown","unknown","60 moves/h; >90% autonomous","operator","known","Not disclosed","unknown","unknown","Autonomous task execution","operator","known","1 robot described","operator","known"
