"record_id","record_number","record_version","slug","model","partner","record_type","deployment_status","context","location","activity_evidence_level","activity_evidence_label","reliability_evidence_level","reliability_evidence_label","summary","finding","reviewed_at","first_published_at","last_modified_at","record_url"
"HU-R001","001","11","figure-02-bmw","Figure 02","BMW","deployment audit","Completed","Automotive production","Spartanburg, USA","operator","Operator-confirmed deployment","operator","Runtime and output confirmed; no availability","BMW and Figure report substantial Figure 02 factory runtime and output, while the scheduled-time, downtime and intervention data needed to calculate availability remain unpublished.","BMW corroborates 1,250 operating hours and 90,000 parts, but those totals have no scheduled-time, downtime or fleet denominator. BMW describes ten months of production support while Figure calls the broader program an 11-month deployment; the sources do not reconcile those scopes. Failure counts, intervention rate, MTBF, MTTR and measured availability remain unpublished.","2026-09-04","2026-09-03","2026-09-04","https://humanoiduptime.com/records/figure-02-bmw/"
"HU-R002","002","7","digit-gxo","Digit","GXO","deployment audit","Commercial","Warehouse logistics","Flowery Branch, Georgia, USA","operator","Operator-confirmed deployment","manufacturer","Manufacturer-reported output; no reliability rate","Digit performs a commercial tote-moving workflow at GXO, but the published duration and output milestones do not reveal operating availability or human-support frequency.","The public record establishes a real commercial workflow, but its layers are uneven: GXO confirms the pilot, the commercial agreement is jointly announced, and Agility alone reports 100,000 totes and one year of full-time deployment. No source publishes operating hours, attempts, scheduled time, downtime, recovery time, autonomous-time share or intervention frequency, so availability and task success cannot be calculated.","2026-09-04","2026-09-03","2026-09-04","https://humanoiduptime.com/records/digit-gxo/"
"HU-R003","003","7","walker-s2-continuous-operation","Walker S2","continuous-operation claim","claim audit","No operator dataset reviewed","Industrial humanoid","Product-level claim","unknown","No bounded deployment","claim","Product capability only","Walker S2's battery architecture is presented as enabling continuous operation, but no bounded field result demonstrates measured availability.","Autonomous battery swapping may reduce energy-related downtime, but UBTECH's three-minute and 24/7 statements are capability claims, not field measurements. The reviewed sources publish no test count, swap-time distribution, failed swaps, operator observation window, scheduled time, runtime or maintenance interruptions.","2026-09-04","2026-09-03","2026-09-04","https://humanoiduptime.com/records/walker-s2-continuous-operation/"
"HU-R004","004","7","figure-03-bmw","Figure 03","BMW","deployment watch","Announced / demonstration stage","Automotive logistics","Spartanburg, USA","operator","Operator-confirmed project","unknown","No quantified operating result","BMW confirms a Figure 03 logistics project and Figure shows the intended workflow, but no sustained production period or quantified operating result is public.","BMW says Figure 03 will start work on a sequencing application; Figure calls its June material the first demonstration of that workflow at the plant. The sources do not establish a production start, observation window or continuous operating period, and publish no runtime, task volume, fleet size, intervention rate or reliability result.","2026-09-04","2026-09-03","2026-09-04","https://humanoiduptime.com/records/figure-03-bmw/"
"HU-R005","005","12","unitree-g1-fraunhofer-ipa","Unitree G1 EDU-4","Fraunhofer IPA","independent benchmark","Single-unit test","Controlled laboratory benchmark","Stuttgart, Germany","independent","Independent laboratory benchmark","independent","Independent lab measurements; no field uptime","Fraunhofer independently benchmarked a specified Unitree G1 configuration, producing laboratory measurements that characterize one test unit rather than field uptime or fleet reliability.","Fraunhofer publishes useful measurements that reveal concrete operating constraints, including scenario-based power draw, derived per-charge endurance, actuator overheating and collision force. Availability is not applicable to this bounded laboratory benchmark because it defines no scheduled operating window; the tests also do not establish field availability, failure frequency, intervention rate or repair time. The public material does not report repeat counts or uncertainty for most tests.","2026-09-04","2026-09-03","2026-09-04","https://humanoiduptime.com/records/unitree-g1-fraunhofer-ipa/"
"HU-R006","006","8","hmnd-01-siemens-erlangen","HMND 01 Alpha","Siemens","deployment audit","Completed proof of concept","Autonomous tote handling in electronics-factory logistics","Erlangen, Germany","operator","Operator-confirmed factory PoC","operator","Test metrics confirmed; no availability","Siemens confirms a two-week HMND 01 factory test with throughput and task-success figures, but the published uptime wording lacks the denominator required for availability.","The public record establishes a real factory test, 60 tote moves per hour and autonomous pick-and-place success above 90%. The reported ‘uptime exceeding 8 hours’ lacks scheduled time, downtime and event definitions, so it cannot be interpreted as an availability percentage or MTBF result.","2026-09-04","2026-09-04","2026-09-04","https://humanoiduptime.com/records/hmnd-01-siemens-erlangen/"
"HU-R007","007","7","sanctuary-canadian-tire","Unnamed Sanctuary GPR","Canadian Tire / Mark's","deployment audit","Completed one-week pilot","Multi-task retail pilot","Mark's store, Langley, British Columbia, Canada","manufacturer","Manufacturer-reported pilot","manufacturer","Manufacturer-reported task count; no reliability rate","Sanctuary reports a one-week retail pilot and 110 correctly completed tasks, without publishing the attempts, operating time or control mode needed to assess reliability.","Sanctuary establishes that a general-purpose robot worked for one week at a Canadian Tire-owned Mark's store and says 110 retail-related tasks were completed correctly. The source does not identify the robot generation, distinguish unique task types from executions, publish failed attempts, or state whether the work was autonomous or teleoperated.","2026-09-04","2026-09-04","2026-09-04","https://humanoiduptime.com/records/sanctuary-canadian-tire/"
"HU-R008","008","7","digit-schaeffler-cheraw","Digit","Schaeffler","deployment audit","Active factory use","Heavy-component transport around an industrial washing process","Cheraw, South Carolina, USA","operator","Operator-confirmed factory use","unknown","No quantified reliability result","Schaeffler describes Digit performing a defined Cheraw factory task more than a year apart, without evidence of continuous operation or published reliability rates during that period.","Schaeffler's own publications establish that Digit began a named material-handling task at Cheraw in early 2025 and was still handling heavy components there in April 2026. An independent factory report adds an eight-hour daily work pattern and roughly one-minute basket loop, but no source publishes cumulative runtime, scheduled time, downtime, interventions, failures or recovery. The calendar span and daily pattern therefore cannot be converted into uptime or MTBF.","2026-09-04","2026-09-04","2026-09-04","https://humanoiduptime.com/records/digit-schaeffler-cheraw/"
"HU-R009","009","6","aeon-bmw-leipzig","AEON","BMW","deployment audit","Active factory pilot / production tasks reported","Battery assembly and component-production pilot","Leipzig, Germany","operator","Operator-confirmed factory pilot","unknown","No deployment-level reliability result","BMW confirms a staged AEON factory pilot and Hexagon reports the start of production tasks, while runtime, task output, interventions and recovery remain unpublished.","BMW confirms a staged AEON program at Plant Leipzig from laboratory evaluation through a December 2025 factory test and 2026 pilot integration. Hexagon later reports that AEON began production tasks on 12 June while still being trained, but does not identify a measured task volume or operating period. Runtime, scheduled time, downtime, interventions, failures, recovery, fleet size and availability remain unpublished; the product-level battery claim is not Leipzig operating evidence.","2026-09-04","2026-09-04","2026-09-04","https://humanoiduptime.com/records/aeon-bmw-leipzig/"
"HU-R010","010","6","apollo-mercedes-berlin","Apollo","Mercedes-Benz","deployment watch","Production-environment training / autonomy development","Intralogistics training and production-environment data collection","Berlin-Marienfelde, Germany","operator","Operator-confirmed factory training","unknown","No quantified operating result","Mercedes-Benz confirms Apollo training and data collection in a production environment, but does not publish autonomous task results, operating time or reliability measurements.","Mercedes-Benz confirms that Apollo robots collected data in a real production-development environment at its Berlin-Marienfelde Digital Factory Campus. Employees taught production knowledge through teleoperation and augmented reality, and Mercedes says the robots are learning to act autonomously. A later Apptronik update names Mercedes-Benz within broader mixed teleoperation and autonomous data-collection workflows. None of the reviewed sources publishes operating hours, completed tasks, fleet size, autonomy share, intervention frequency, downtime, failures, recovery time or availability.","2026-09-04","2026-09-04","2026-09-04","https://humanoiduptime.com/records/apollo-mercedes-berlin/"
